LP 6,3,Picture 50(Line955),Picture 59(Line942),Picture 42(Line479),,,Part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 13,"6,5","Picture 119,120",Line 344,22.03.2021,,Picture 130,Line ~300,22.03.2021,,Picture 161,Line ~200,22.03.2021,,Picture 152,Line ~800,22.03.2021,,Picture 143,Line ~526,22.03.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V, mkm/s",1,2,3,4,5,6,7,8,9,10,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,,,"75,5",424,626,868,"1028,5",1073,1035,1261,1293,"1300,5",1300,1283,"1281,5",1247,1191,"1151,5",1122,"1095,5",1059,"1019,5",978,"975,5","957,5","943,5","906,5","878,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"h, nm",,,,,71,"414,5",602,"856,5","1000,5",1005,1050,1266,"1273,5",1305,"1289,5","1288,5",1275,1238,"1189,5",1145,"1100,5","1086,5",1040,1004,"983,5","979,5",955,949,907,"879,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dh, nm",,,,,"-4,5","-9,5",-24,"-11,5",-28,-68,15,5,"-19,5","4,5","-10,5","5,5","-6,5",-9,"-1,5","-6,5","-21,5",-9,-19,"-15,5","5,5",4,"-2,5","5,5","0,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dh/h, %",,,,,"6,338028169","2,291917973","3,986710963","1,342673672","2,7986007","6,766169154","1,428571429","0,3949447077","1,531213192","0,3448275862","0,8142690965","0,4268529298","0,5098039216","0,7269789984","0,1261034048","0,5676855895","1,953657428","0,8283479061","1,826923077","1,543824701","0,5592272496","0,4083716182","0,2617801047","0,5795574289","0,05512679162","0,1137009665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w1)/2, nm",,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(w2)/2, nm",,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"w, nm",,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
